,data_point_id,annotator_id,label,original_text,category
0,0,NA,NA,"[""Each party  each agrees that it will not knowingly do anything inconsistent with the other party's ownership of such party's intellectual property, including  without limitation, questioning the validity of that party's Trademarks or registering or attempting to register the other party's Trademarks in its  own name or that of any other firm, person or corporation.""]",Covenant Not To Sue
1,1,NA,NA,"[""Any such audit shall be\n\n\n\n\n\nconducted during normal business hours, upon at least three business days prior written notification to the party to be audited stating the purpose of the audit<omitted>and in such a manner so as to not unreasonably interfere with such party's business operations."", ""During the term of this Agreement and the five (5) year period immediately following termination of this Agreement, Licensee will have the right, at its own expense, to audit and examine Licensor's records concerning compliance by Licensor with its obligations as to confidentiality under this Agreement."", 'During the term of this Agreement and the five (5) year period immediately following termination of this Agreement, Licensor will have the right, at its own expense, to audit and examine Licensees records concerning either (a) the reproduction and sublicensing of the Licensed Products and the resulting fees due to Licensor or (b) compliance by Licensee with its obligations as to confidentiality under this Agreement.']",Audit Rights
2,2,NA,NA,"['XC does hereby  grant AJR a limited and  non-transferable  license and  non-exclusive  right to use XC\'s logo and  trademarks and service marks set forth on Schedule A attached hereto (the ""Licensed  Materials"")  during the Term of this Agreement.']",Non-Transferable License
3,3,NA,NA,"['In exchange for Company\'s contributions and obligations under this Agreement, Reed\'s grants Company the exclusive right to manufacture, package, promote, sell and distribute the Products (if and to the extent approved by the Development Committee), subject to the terms and conditions of a separate Manufacturing and Distribution Agreement to be entered into by the parties concurrently with this Agreement, as it may be amended, modified, supplemented or restated from time to time (the ""Manufacturing and Distribution Agreement"").']",Exclusivity
4,4,NA,NA,"['The Consultant agrees that if, in the course of performing the Services, the Consultant incorporates into any Invention developed under this Agreement any preexisting invention, improvement, development, concept, discovery or other proprietary information owned by the Consultant or in which the Consultant has an interest (""Prior Inventions""), (i) the Consultant will inform the Company, in writing before incorporating such Prior Inventions into any Invention, and (ii) the Company is hereby granted a nonexclusive, royalty-free, perpetual, irrevocable, transferable worldwide license with the right to grant and authorize sublicenses, to make, have made, modify, use, import, offer for sale, sell, reproduce, distribute, modify, adapt, prepare derivative works of, display, perform, and otherwise exploit such Prior Inventions, without restriction, including, without limitation, as part of or in connection with such Invention, and to practice any method related thereto.']",Irrevocable Or Perpetual License
5,5,NA,NA,"[""NOTHING IN THIS SECTION 14.5 IS INTENDED TO OR SHALL LIMIT OR RESTRICT THE INDEMNIFICATION RIGHTS OR OBLIGATIONS OF ANY PARTY UNDER SECTION 14.1 OR SECTION 14.2, OR DAMAGES AVAILABLE FOR A PARTY'S BREACH OF ITS OBLIGATIONS RELATING TO CONFIDENTIALITY UNDER ARTICLE XI OR INTELLECTUAL PROPERTY UNDER ARTICLE X.""]",Uncapped Liability
6,6,NA,NA,"['The Parties acknowledge and agree that title to and risk of loss of all Prefilled Syringes shall at all times belong to and remain in AMAG; provided that, subject to the limitations on liability set forth in this Section 2.2(b), in the event of loss or damage of any Prefilled Syringes while they are at the Manufacturing Site, Antares shall be only responsible for the replacement costs (as evidenced by AMAG invoices) of such Prefilled Syringes if the damage, loss, theft or destruction was caused by the negligent act or omission or the willful misconduct of Antares or its Subcontractor.']",Cap On Liability
7,7,NA,NA,"['For the removal of doubt, when determining the liquidated                     damages due, the applicable sub-section 5.3.1, 5.3.2 OR                     5.3.3 will apply.', 'In any event, the total liquidated damages                     as per this Section shall not exceed 5% of the Product                     Price.', 'In the event that following the delay, Contractor is in                     compliance with the Due Dates for two immediately                     consecutive Quarters and there is no delay whatsoever,                     Contractor will be reimbursed by NICE for liquidated damages                     already paid for delay in the previous Quarter (before the                     said 2 Quarters), if paid, without derogating from the                     previous delay being regarded as a breach hereunder.', ""Any delay from the Due Date of a certain                Product in a certain Quarter, not due to a specific written                request by NICE or otherwise deriving from a breach of NICE'                undertakings hereunder and only to the extent deriving from such                breach by NICE, or caused by an event of Force Majeure, and                subject to the terms hereof, shall be considered a material                breach of Contractor's obligations under this Agreement and shall                entitle NICE to the following liquidated damages in addition to                any remedy available to NICE under this Agreement or by law:\n\n               5.3.1. One percent (1%) of the Product Price for a delay of 3 to                     5 Days.\n\n               5.3.2. Three percent (3%) of the Product Price for a delay of up                     to 10 Days.\n\n               5.3.3. Five percent (5%) of the Product Price for a delay of 11                     Days or more.""]",Liquidated Damages
8,8,NA,NA,"[""EXCEPT FOR LIABILITIES UNDER SECTION 7.2  [Indemnity], NEITHER PARTY'S AGGREGATE LIABILITY ARISING OUT OF OR IN CONNECTION WITH THIS AGREEMENT OR THE TRANSACTIONS CONTEMPLATED HEREBY, WHETHER IN CONTRACT, TORT (INCLUDING NEGLIGENCE), WARRANTY OR OTHERWISE, SHALL EXCEED [***]."", 'EXCEPT TO THE EXTENT AWARDED TO A THIRD PARTY IN A JUDGMENT AGAINST WHICH A PARTY IS ENTITLED TO INDEMNIFICATION PURSUANT TO SECTION 7.2  [Indemnity], OR TO THE EXTENT ARISING OUT OF ANY BREACH OF SECTION 11.4  [Nondisclosure], NEITHER PARTY WILL BE LIABLE (WHETHER IN CONTRACT, WARRANTY, TORT (INCLUDING, BUT NOT LIMITED TO, NEGLIGENCE), PRODUCT LIABILITY OR OTHER THEORY), TO THE OTHER PARTY OR ANY OTHER PERSON OR ENTITY FOR COST OF COVER OR FOR ANY INDIRECT, INCIDENTAL, SPECIAL OR CONSEQUENTIAL DAMAGES (INCLUDING WITHOUT LIMITATION DAMAGES FOR LOSS OF PROFIT, REVENUE, BUSINESS OR DATA) ARISING OUT OF THIS AGREEMENT, EVEN IF SUCH PARTY HAS BEEN ADVISEDOF THE POSSIBILITY OF SUCH COSTS OR DAMAGES.']",Cap On Liability
9,9,NA,NA,"[""The Franchisee  will not directly or indirectly,  at any time during the term of this Agreement or thereafter,  do or cause to be done any act or thing  disputing,  attacking or in any way impairing the validity of and BKC's right,  title or interest in the Burger King Marks and the Burger King System.""]",Covenant Not To Sue
